Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int","Volume Open Interest Ratio",IV,Type,"Last Trade","Avg IV"
"4,025.00",+1.15%,85.10,85.60,86.10,82.94,-11.62,-12.29%,47,189,20.53%,Call,12/02/22,21.20%
"4,030.00",+1.02%,81.90,82.40,82.90,71.00,-22.70,-24.23%,55,52,20.49%,Call,12/02/22,21.20%
"4,035.00",+0.90%,78.80,79.30,79.80,72.70,-23.70,-24.59%,31,40,20.46%,Call,12/02/22,21.20%
"4,040.00",+0.78%,75.70,76.25,76.80,71.10,-16.30,-18.65%,31,727,20.44%,Call,12/02/22,21.20%
"4,045.00",+0.66%,72.70,73.25,73.80,68.20,-17.50,-20.42%,9,35,20.40%,Call,12/02/22,21.20%
"4,050.00",+0.53%,69.80,70.35,70.90,73.19,-9.21,-11.18%,25,316,20.38%,Call,12/02/22,21.20%
"4,055.00",+0.41%,66.90,67.40,67.90,62.30,-15.50,-19.92%,7,34,20.31%,Call,12/02/22,21.20%
"4,060.00",+0.29%,64.10,64.60,65.10,65.90,-12.20,-15.62%,49,70,20.27%,Call,12/02/22,21.20%
"4,065.00",+0.16%,61.40,61.85,62.30,62.40,-13.70,-18.00%,8,36,20.23%,Call,12/02/22,21.20%
"4,070.00",+0.04%,58.70,59.20,59.70,57.70,-12.20,-17.45%,115,70,20.20%,Call,12/02/22,21.20%
"4,075.00",-0.08%,56.20,56.60,57.00,54.45,-10.85,-16.62%,30,828,20.16%,Call,12/02/22,21.20%
"4,080.00",-0.20%,53.70,54.10,54.50,49.55,-10.93,-18.07%,4,49,20.13%,Call,12/02/22,21.20%
"4,085.00",-0.33%,51.20,51.60,52.00,47.10,-16.40,-25.83%,5,960,20.08%,Call,12/02/22,21.20%
"4,090.00",-0.45%,48.80,49.20,49.60,50.00,-5.58,-10.04%,13,569,20.04%,Call,12/02/22,21.20%
"4,095.00",-0.57%,46.40,46.80,47.20,47.80,-3.70,-7.18%,16,42,19.97%,Call,12/02/22,21.20%
"4,100.00",-0.70%,44.20,44.55,44.90,42.82,-10.41,-19.56%,516,442,19.93%,Call,12/02/22,21.20%
"4,105.00",-0.82%,42.00,42.35,42.70,43.70,-7.13,-14.03%,8,44,19.89%,Call,12/02/22,21.20%
"4,110.00",-0.94%,39.80,40.20,40.60,37.12,-13.45,-26.60%,5,52,19.83%,Call,12/02/22,21.20%
"4,115.00",-1.06%,37.80,38.15,38.50,48.40,0.00,unch,0,8,19.79%,Call,12/01/22,21.20%
"4,120.00",-1.19%,35.80,36.15,36.50,35.80,-10.42,-22.54%,2,40,19.61%,Call,12/02/22,21.20%
"4,025.00",-1.15%,41.40,41.80,42.20,43.31,-0.06,-0.14%,36,162,22.67%,Put,12/02/22,21.20%
"4,030.00",-1.02%,43.20,43.60,44.00,41.17,-2.73,-6.22%,21,93,22.61%,Put,12/02/22,21.20%
"4,035.00",-0.90%,45.10,45.50,45.90,51.70,0.00,unch,0,81,22.57%,Put,12/01/22,21.20%
"4,040.00",-0.78%,47.00,47.40,47.80,46.70,-0.70,-1.48%,2,80,22.50%,Put,12/02/22,21.20%
"4,045.00",-0.66%,49.00,49.45,49.90,48.70,0.90,+1.88%,1,11,22.47%,Put,12/02/22,21.20%
"4,050.00",-0.53%,51.10,51.50,51.90,51.53,-3.17,-5.80%,46,264,22.43%,Put,12/02/22,21.20%
"4,055.00",-0.41%,53.20,53.65,54.10,63.89,1.79,+2.88%,1,56,22.38%,Put,12/02/22,21.20%
"4,060.00",-0.29%,55.40,55.85,56.30,57.30,-3.60,-5.91%,54,144,22.34%,Put,12/02/22,21.20%
"4,065.00",-0.16%,57.70,58.10,58.50,59.60,-3.00,-4.79%,4,37,22.29%,Put,12/02/22,21.20%
"4,070.00",-0.04%,60.00,60.40,60.80,58.20,-0.50,-0.85%,105,159,22.24%,Put,12/02/22,21.20%
"4,075.00",+0.08%,62.40,62.80,63.20,65.20,4.30,+7.06%,18,65,22.20%,Put,12/02/22,21.20%
"4,080.00",+0.20%,64.90,65.30,65.70,69.70,4.42,+6.77%,1,78,22.17%,Put,12/02/22,21.20%
"4,085.00",+0.33%,67.30,67.75,68.20,67.10,-6.60,-8.96%,11,38,22.11%,Put,12/02/22,21.20%
"4,090.00",+0.45%,69.90,70.30,70.70,72.90,0.00,unch,21,52,22.06%,Put,12/02/22,21.20%
"4,095.00",+0.57%,72.60,73.15,73.70,69.40,-1.70,-2.39%,97,107,22.09%,Put,12/02/22,21.20%
"4,100.00",+0.70%,75.30,75.85,76.40,85.00,11.10,+15.02%,15,290,22.04%,Put,12/02/22,21.20%
"4,105.00",+0.82%,78.10,78.60,79.10,91.10,14.10,+18.31%,6,23,21.99%,Put,12/02/22,21.20%
"4,110.00",+0.94%,80.90,81.45,82.00,80.58,-10.82,-11.84%,95,95,21.95%,Put,12/02/22,21.20%
"4,115.00",+1.06%,83.90,84.40,84.90,94.50,3.60,+3.96%,6,17,21.93%,Put,12/02/22,21.20%
"4,120.00",+1.19%,86.90,87.40,87.90,84.76,7.16,+9.23%,14,5,21.90%,Put,12/02/22,21.20%
"Downloaded from Barchart.com as of 12-03-2022 09:50am CST"
