,Date,Open,High,Low,Close,Time
0,12/02/2022,4040.17,"4,080.48","4,026.63","4,071.70",-0.0027397260273972603
1,12/01/2022,4087.14,"4,100.51","4,050.87","4,076.57",-0.005479452054794521
2,11/30/2022,3957.18,"4,080.11","3,938.58","4,080.11",-0.00821917808219178
3,11/29/2022,3964.19,"3,976.77","3,937.65","3,957.63",-0.010958904109589041
4,11/28/2022,4005.36,"4,012.27","3,955.77","3,963.94",-0.0136986301369863
5,11/25/2022,4023.34,"4,034.02","4,020.76","4,026.12",-0.021917808219178082
6,11/23/2022,4001.02,"4,033.78","3,998.66","4,027.26",-0.0273972602739726
7,11/22/2022,3965.51,"4,005.88","3,956.88","4,003.58",-0.030136986301369864
8,11/21/2022,3956.23,"3,962.00","3,933.34","3,949.94",-0.03287671232876712
9,11/18/2022,3966.39,"3,979.89","3,935.98","3,965.34",-0.0410958904109589
10,11/17/2022,3919.26,"3,954.33","3,906.54","3,946.56",-0.043835616438356165
11,11/16/2022,3976.82,"3,983.09","3,954.34","3,958.79",-0.04657534246575343
12,11/15/2022,4006.41,"4,028.84","3,953.17","3,991.73",-0.049315068493150684
13,11/14/2022,3977.97,"4,008.97","3,956.40","3,957.25",-0.052054794520547946
14,11/11/2022,3963.72,"4,001.48","3,944.82","3,992.93",-0.06027397260273973
15,11/10/2022,3859.89,"3,958.33","3,859.89","3,956.37",-0.06301369863013699
16,11/09/2022,3810.94,"3,818.20","3,744.22","3,748.57",-0.06575342465753424
17,11/08/2022,3817.02,"3,859.40","3,786.28","3,828.11",-0.0684931506849315
18,11/07/2022,3780.71,"3,813.95","3,764.70","3,806.80",-0.07123287671232877
19,11/04/2022,3766.98,"3,796.34","3,708.84","3,770.55",-0.07945205479452055
20,11/03/2022,3733.25,"3,750.59","3,698.15","3,719.89",-0.0821917808219178
21,11/02/2022,3852.9,"3,894.44","3,758.68","3,759.69",-0.08493150684931507
22,11/01/2022,3901.79,"3,911.79","3,843.80","3,856.10",-0.08767123287671233
23,10/31/2022,3881.85,"3,893.73","3,863.18","3,871.98",-0.09041095890410959
24,10/28/2022,3808.26,"3,905.42","3,808.26","3,901.06",-0.09863013698630137
25,10/27/2022,3834.69,"3,859.95","3,803.79","3,807.30",-0.10136986301369863
26,10/26/2022,3825.97,"3,886.15","3,824.07","3,830.60",-0.10410958904109589
27,10/25/2022,3799.44,"3,862.85","3,799.44","3,859.11",-0.10684931506849316
28,10/24/2022,3762.01,"3,810.74","3,741.65","3,797.34",-0.1095890410958904
29,10/21/2022,3657.1,"3,757.89","3,647.42","3,752.75",-0.1178082191780822
30,10/20/2022,3689.05,"3,736.00","3,656.44","3,665.78",-0.12054794520547946
31,10/19/2022,3703.11,"3,728.58","3,666.51","3,695.16",-0.1232876712328767
32,10/18/2022,3746.26,"3,762.79","3,686.53","3,719.98",-0.12602739726027398
33,10/17/2022,3638.65,"3,689.73","3,638.65","3,677.95",-0.12876712328767123
34,10/14/2022,3690.41,"3,712.00","3,579.68","3,583.07",-0.136986301369863
35,10/13/2022,3520.37,"3,685.41","3,491.58","3,669.91",-0.13972602739726028
36,10/12/2022,3590.83,"3,608.34","3,573.86","3,577.03",-0.14246575342465753
37,10/11/2022,3595.86,"3,640.66","3,568.45","3,588.84",-0.14520547945205478
38,10/10/2022,3647.51,"3,652.17","3,588.10","3,612.39",-0.14794520547945206
39,10/07/2022,3706.74,"3,706.74","3,620.73","3,639.66",-0.15616438356164383
40,10/06/2022,3771.97,"3,797.93","3,739.22","3,744.52",-0.1589041095890411
41,10/05/2022,3753.25,"3,806.91","3,722.66","3,783.28",-0.16164383561643836
42,10/04/2022,3726.46,"3,791.92","3,726.46","3,790.93",-0.1643835616438356
43,10/03/2022,3609.78,"3,698.35","3,604.93","3,678.43",-0.16712328767123288
